# id | carriers | connections (from>to) | feedback (from>to)
1 | 1,3 | 2>1,6>5,5>4,4>3 | 6>6
2 | 1,3 | 2>1,6>5,5>4,4>3 | 2>2
3 | 1,4 | 3>2,2>1,6>5,5>4 | 6>6
4 | 1,4 | 3>2,2>1,6>5,5>4 | 4>6
5 | 1,3,5 | 2>1,4>3,6>5 | 6>6
6 | 1,3,5 | 2>1,4>3,6>5 | 5>6
7 | 1,3 | 2>1,4>3,6>5,5>3 | 6>6
8 | 1,3 | 2>1,4>3,6>5,5>3 | 4>4
9 | 1,3 | 2>1,4>3,6>5,5>3 | 2>2
10 | 4,1 | 5>4,6>4,3>2,2>1 | 3>3
11 | 4,1 | 5>4,6>4,3>2,2>1 | 6>6
12 | 3,1 | 4>3,5>3,6>3,2>1 | 2>2
13 | 3,1 | 4>3,5>3,6>3,2>1 | 6>6
14 | 1,3 | 2>1,5>4,6>4,4>3 | 6>6
15 | 1,3 | 2>1,5>4,6>4,4>3 | 2>2
16 | 1 | 2>1,4>3,3>1,6>5,5>1 | 6>6
17 | 1 | 2>1,4>3,3>1,6>5,5>1 | 2>2
18 | 1 | 2>1,3>1,6>5,5>4,4>1 | 3>3
19 | 1,4,5 | 3>2,2>1,6>4,6>5 | 6>6
20 | 1,2,4 | 3>1,3>2,5>4,6>4 | 3>3
21 | 1,2,4,5 | 3>1,3>2,6>4,6>5 | 3>3
22 | 1,3,4,5 | 2>1,6>3,6>4,6>5 | 6>6
23 | 1,2,4,5 | 3>2,6>4,6>5 | 6>6
24 | 1,2,3,4,5 | 6>3,6>4,6>5 | 6>6
25 | 1,2,3,4,5 | 6>4,6>5 | 6>6
26 | 1,2,4 | 3>2,5>4,6>4 | 6>6
27 | 1,2,4 | 3>2,5>4,6>4 | 3>3
28 | 1,3,6 | 2>1,5>4,4>3 | 5>5
29 | 1,2,3,5 | 4>3,6>5 | 6>6
30 | 1,2,3,6 | 5>4,4>3 | 5>5
31 | 1,2,3,4,5 | 6>5 | 6>6
32 | 1,2,3,4,5,6 |  | 6>6
